date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:09	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1761076858-ssl-df	https://ai-sang-tac-truyen-plus.netlify.app/robots.txt		(from )
19:22:10	5021/5021	---MCZ	200	added ('OK')	text/html	etag:%22bcae361d6b9b3e3a7a0b49e6d548a2cf-ssl-df%22	https://ai-sang-tac-truyen-plus.netlify.app/	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/ai-sang-tac-truyen-plus.netlify.app/index.html	(from )
19:22:11	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Oct%202025%2012:22:11%20GMT	https://fonts.gstatic.com/	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/fonts.gstatic.com/index.html	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:11	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Oct%202025%2012:22:11%20GMT	https://fonts.googleapis.com/	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/fonts.googleapis.com/index.html	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:11	71150/71150	---MCZ	200	added ('OK')	text/css	date:Sat,%2025%20Oct%202025%2012:22:11%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Lobster&family=Lora:ital,wght@0,400;0,500;0,700;1,400&family=Merriweather:ital,wght@0,400;0,700;1,400;1,700&family=Nunito:ital,wght@0,400;0,600;0,700;1,400&family=Pacifico&family=Playfair+Display:ital,wght@0,400;0,700;1,400;1,700&family=Roboto+Mono:wght@400;500&family=Source+Code+Pro:ital,wght@0,400;0,600;1,400&family=Work+Sans:ital,wght@0,400;0,600;1,400&display=swap	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/fonts.googleapis.com/css27c8d.css	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:11	18681100/18681100	---M--	200	added ('OK')	image/webp	etag:%2268b03b77-11d0d0c%22	https://ntk918.github.io/my-images/dragon_light.webp	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/ntk918.github.io/my-images/dragon_light.webp	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:12	638/638	---M--	200	added ('OK')	application/javascript	etag:%22f9231a713c568884e464e7b6ad5dfe1a-ssl%22	https://ai-sang-tac-truyen-plus.netlify.app/assets/react-BjG_zV1W.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/ai-sang-tac-truyen-plus.netlify.app/assets/react-BjG_zV1W.js	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:13	633970/633970	---MCZ	200	added ('OK')	application/javascript	etag:%22c2e4adaf9a738e0fb9ca394f362febc1-ssl-df%22	https://ai-sang-tac-truyen-plus.netlify.app/assets/index-CkVxmYAY.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/ai-sang-tac-truyen-plus.netlify.app/assets/index-CkVxmYAY.js	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:13	193666/193666	---MCZ	200	added ('OK')	text/css	etag:%22f32ea7d8c8ff7cbef8aaf4faafbef71d-ssl-df%22	https://ai-sang-tac-truyen-plus.netlify.app/assets/index-CS_RbHZp.css	C:/Users/Mialui/Desktop/aisangtac/offline_sites/ai-sang-tac-truyen-plus.netlify.app/ai-sang-tac-truyen-plus.netlify.app/assets/index-CS_RbHZp.css	(from https://ai-sang-tac-truyen-plus.netlify.app/)
19:22:13	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268ed376f-239b%22	https://ntk918.github.io/robots.txt		(from https://ai-sang-tac-truyen-plus.netlify.app/)
